station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
SMA;01.01.1948 00:00;8.9;5.4;13.4;-0.9;-0.8;-0.6;;;;;;;;;889.2;80;;;100064;98;;;;;;;;;;;;
SMA;01.01.1949 00:00;9.4;5.4;14.3;-0.4;-0.8;0.3;;;;;;;;;646.7;58;;;116142;114;;;;;;;;;;;;
SMA;01.01.1950 00:00;9;5.1;13.6;-0.8;-1.1;-0.4;;;;;;;;;1052.7;95;;;102724;101;;;;;;;;;;;;
SMA;01.01.1951 00:00;8.6;5;12.8;-1.2;-1.2;-1.2;;;;;;;;;1076.8;97;;;89345;88;;;;;;;;;;;;
SMA;01.01.1952 00:00;8.6;5;12.9;-1.2;-1.2;-1.1;;;;;;;;;1261.5;114;;;100669;99;;;;;;;;;;;;
SMA;01.01.1953 00:00;8.5;5;13.1;-1.3;-1.2;-0.9;;;;;;;;;844.4;76;;;105930;104;;;;;;;;;;;;
SMA;01.01.1954 00:00;8;4.5;12;-1.8;-1.7;-2;;;;;;;;;1117.5;101;;;91124;90;;;;;;;;;;;;
SMA;01.01.1955 00:00;8.1;4.6;12.2;-1.7;-1.6;-1.8;;;;;;;;;1087.8;98;;;92319;91;;;;;;;;;;;;
SMA;01.01.1956 00:00;7.1;3.6;11;-2.7;-2.6;-3;;;;;;;;;1137.6;103;;;91236;90;;;;;;;;;;;;
SMA;01.01.1957 00:00;8.6;5.1;12.6;-1.2;-1.1;-1.4;;;;;;;;;987.7;89;;;96060;94;;;;;;;;;;;;
SMA;01.01.1958 00:00;8.6;5.1;12.3;-1.2;-1.1;-1.7;;;;;;;;;1348.3;122;;;93004;91;;;;;;;;;;;;
SMA;01.01.1959 00:00;9.2;5.4;13.6;-0.6;-0.8;-0.4;9.7;-0.1;24;951.8;-0.3;10;;;878.4;79;;;110919;109;3459.8;79.8;;111;-9.4;31;76;34;17;0;2;
SMA;01.01.1960 00:00;8.6;5.2;12.8;-1.2;-1;-1.2;8.9;-0.9;12;949.2;-2.9;8;;;1226.2;111;;;96539;95;3543.5;31;;152;-16.5;29.4;69;19;24;0;0;
SMA;01.01.1961 00:00;9.5;5.9;13.8;-0.3;-0.3;-0.2;10.1;0.3;17;952.3;0.2;8;;;898.2;81;;;106961;105;3312.8;73;1544.8;130;-11.2;30.5;64;34;21;0;2;
SMA;01.01.1962 00:00;7.6;4;11.8;-2.2;-2.2;-2.2;8.4;-1.4;17;951.8;-0.3;6;;;930.7;84;;;108919;107;4140.3;85;2196.3;113;-14.6;31.6;110;35;33;0;4;
SMA;01.01.1963 00:00;7.4;4;11.5;-2.4;-2.2;-2.5;9.1;-0.7;34;950.2;-1.9;6;;;973.5;88;;;93326;92;4132.5;59.2;2204.5;123;-19;30.6;98;23;56;0;1;
SMA;01.01.1964 00:00;8.5;5.1;12.3;-1.3;-1.1;-1.7;9.2;-0.6;19;952.4;0.3;9;;;916.2;83;;;94700;93;3740;108.9;1980;128;-10.5;32.3;88;42;44;0;7;
SMA;01.01.1965 00:00;7.6;4.4;11.5;-2.2;-1.8;-2.5;9.3;-0.5;14;949.9;-2.2;17;;;1447;131;;;80529;79;4093.5;39.3;2005.5;175;-11.1;31.1;87;18;22;0;2;
SMA;01.01.1966 00:00;8.7;5.5;12.9;-1.1;-0.7;-1.1;9.7;-0.1;13;949.6;-2.5;6;;;1231.9;111;;;91102;90;3522.5;51.7;1738.5;160;-16.6;32.3;75;27;18;0;2;
SMA;01.01.1967 00:00;8.7;5.1;13.1;-1.1;-1.1;-0.9;9.5;-0.3;14;952.3;0.2;7;;;1026.6;93;;;101798;100;3676;80.3;1812;121;-11.8;31.1;73;36;25;0;5;
SMA;01.01.1968 00:00;8.2;5;12.3;-1.6;-1.2;-1.7;9.3;-0.5;21;950.5;-1.6;9;;;1086.6;98;;;93988;92;3715.7;47.8;1867.7;144;-14.6;30.7;93;20;31;1;1;
